name;Число избирателей, внесенных в список избирателей;Число избирательных бюллетеней, полученных участковой избирательной комиссией;Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно;Число избирательных бюллетеней, выданных избирателям в помещении для голосования;Число избирательных бюллетеней, выданных избирателям вне помещения для голосования ;Число погашенных избирательных бюллетеней;Число избирательных бюллетеней в переносных ящиках для голосования;Число избирательных бюллетеней в стационарных ящиках для голосования;Число недействительных избирательных бюллетеней;Число действительных избирательных бюллетеней;Число открепительных удостоверений, полученных участковой избирательной комиссией;Число открепительных удостоверений, выданных избирателям на избирательном участке;Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке;Число погашенных неиспользованных открепительных удостоверений;Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией;Число утраченных открепительных удостоверений;Число утраченных избирательных бюллетеней;Число избирательных бюллетеней, не учтенных при получении ;1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ;"2. Политическая партия ""Либерально-демократическая партия России""";"3. Политическая партия ""ПАТРИОТЫ РОССИИ"" ";"4. Политическая партия ""Коммунистическая партия Российской Федерации""";"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО""";"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""";"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""
ЦИК России;109229337;103015720;170710;61242441;4353443;37246505;4522236;61126454;1033438;64615252;2173343;1647223;1257966;525993;149716;127;2842;221;8695458;7664516;639067;12599420;2252327;32371737;392727
Республика Адыгея (Адыгея);340097;331049;0;206096;17934;107018;17934;206011;3099;220846;1861;1498;656;363;133;0;1;0;18943;17360;2068;40831;3962;136612;1070
Республика Алтай;151402;147742;1198;89202;5867;51473;7055;89209;1248;95016;2703;1681;1379;1022;34;0;2;0;9938;10252;778;20741;1479;51342;486
Республика Башкортостан - Бирская;741585;749347;0;584782;34823;129734;34823;584693;6014;613502;18568;17665;6044;903;3068;0;8;0;29652;28360;3083;83442;5318;461866;1781
Республика Башкортостан - Салаватская;726901;721749;0;561666;31776;128303;31776;561102;6654;586224;10726;9603;4648;1123;1280;0;4;0;33273;22313;3181;99895;4607;421283;1672
Республика Башкортостан - Стерлитамакская;746333;718792;0;574596;32706;111489;32705;574279;4988;601996;9391;8006;4104;1385;515;0;1;0;21389;22625;2386;85535;3942;463340;2779
Республика Башкортостан - Уфимская;802893;737065;0;550160;21108;165612;21106;549479;6494;564091;17610;16729;14216;881;1168;0;259;74;46031;51083;4300;105138;15979;338464;3096
Республика Бурятия;670122;606373;1814;350933;28777;224849;30577;350838;5563;375852;18825;10652;7375;8164;304;9;0;0;48166;36119;3008;92834;7161;186953;1611
Республика Дагестан - Дербентская;800835;737262;0;717576;5876;13810;5876;717549;1529;721896;4088;114;8;3974;17;0;0;0;1426;139;605;53852;284;665112;478
Республика Дагестан - Махачкалинская;842969;781302;103;765666;7941;7542;8044;765651;1091;772604;4073;229;95;3844;19;0;54;4;1416;310;1343;64823;457;703868;387
