name;Число избирателей, внесенных в список избирателей на момент окончания голосования;Число избирательных бюллетеней, полученных участковой избирательной комиссией;Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно;Число избирательных бюллетеней, выданных в помещении для голосования в день голосования;Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования ;Число погашенных избирательных бюллетеней;Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования ;Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования;Число недействительных избирательных бюллетеней;Число действительных избирательных бюллетеней;Число открепительных удостоверений, полученных участковой избирательной комиссией;Число открепительных удостоверений, выданных на избирательном участке до дня голосования;Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке;"
Число погашенных неиспользованных открепительных удостоверений";Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией;Число утраченных открепительных удостоверений;Число утраченных избирательных бюллетеней;Число избирательных бюллетеней, не учтенных при получении ;"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""";2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ;"3. Политическая партия ""Российская партия пенсионеров за справедливость""";"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""";"5. Политическая партия ""Российская экологическая партия ""Зеленые""";"6. Политическая партия ""Гражданская Платформа""";7. Политическая партия ЛДПР - Либерально-демократическая партия России;"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)";"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА""";"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила""";"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО""";"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""";"13. Политическая партия ""ПАТРИОТЫ РОССИИ""";14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ
ЦИК России;110061200;101244492;109868;49174491;3416633;48542374;3524522;49107327;"
982596";51649253;1936683;1030295;809157;906385;216029;3;1423;297;792226;1192595;910848;28527828;399429;115433;6917063;384675;679030;73971;1051335;7019752;310015;3275053
ОИК №1;339685;330324;0;172351;10782;147191;10782;172202;3612;179372;2000;650;466;1350;141;0;0;0;2065;4074;2477;108778;1186;229;23158;606;1271;184;1624;24456;431;8833
ОИК №2;159300;144645;819;67319;3704;72803;4523;67318;1431;70410;2653;949;927;1704;188;0;0;0;4065;1936;980;35065;398;78;9148;675;374;99;583;13570;497;2942
ОИК №3;492984;458615;0;330870;18881;108864;18863;330412;2995;346280;8149;7254;4465;895;774;0;0;0;2395;5536;2987;201496;2240;825;57934;861;1630;510;2565;43178;2146;21977
ОИК №4;530688;523721;0;345125;26230;152366;26225;345064;3855;367434;12246;9508;3072;2738;1269;0;0;0;5276;8223;4888;208345;1915;1052;67855;829;1419;640;2045;45518;1286;18143
ОИК №5;533211;474861;0;335035;22008;117814;22005;334724;2964;353765;8244;6249;2622;1995;1276;0;4;0;1636;5149;3138;182642;1313;666;66681;767;1130;487;2589;55042;1467;31058
ОИК №6;486635;477050;0;319481;13718;143851;13718;319230;2537;330411;7222;5683;1384;1539;1016;0;0;0;1857;6530;3504;195713;1423;2542;14263;636;1395;482;1569;75954;1414;23129
ОИК №7;480686;478445;0;298341;17259;162837;17258;298053;4668;310643;5920;4620;1848;1300;879;0;8;0;1998;9076;3950;184700;1616;665;18918;762;1140;478;1371;57540;1120;27309
ОИК №8;516641;488338;0;373514;21531;93293;21531;373336;1909;392958;4657;3140;1108;1517;568;0;0;0;1425;4583;2556;222350;2242;578;13755;511;965;308;972;117498;850;24365
ОИК №9;720498;619201;2629;273414;15899;327259;18524;273244;7467;284301;17088;7477;6601;9611;859;0;0;0;2411;8380;6384;126461;1672;2391;39514;1524;11371;415;3428;60067;1162;19121
ОИК №10;505857;492499;0;447668;4123;40708;4120;447536;1640;450016;2198;129;57;2069;167;0;0;0;1707;2155;1441;395786;958;594;2054;612;5693;503;958;23671;1593;12291
ОИК №11;576431;558709;0;516246;2491;39972;2488;515682;2056;516114;2086;116;126;1970;362;0;0;0;1394;1645;1233;463206;757;233;2203;248;348;283;808;29922;4477;9357
ОИК №12;571519;556523;0;480637;5879;70002;5843;480581;4046;482378;3606;53;348;3553;66;0;5;0;1571;1658;969;435637;822;223;3247;215;868;309;472;24330;1618;10439
