name;Число избирателей, внесенных в список избирателей на момент окончания голосования;Число избирательных бюллетеней, полученных участковой избирательной комиссией;Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно;Число избирательных бюллетеней, выданных в помещении для голосования в день голосования;Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования ;Число погашенных избирательных бюллетеней;Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования ;Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования;Число недействительных избирательных бюллетеней;Число действительных избирательных бюллетеней;Число утраченных избирательных бюллетеней;Число избирательных бюллетеней, не учтенных при получении ;"1. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""";"2. Политическая партия ""Российская экологическая партия ""ЗЕЛЁНЫЕ""";3. Политическая партия ЛДПР – Либерально-демократическая партия России;"4. Политическая партия ""НОВЫЕ ЛЮДИ""";"5. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""";6. Партия СПРАВЕДЛИВАЯ РОССИЯ – ЗА ПРАВДУ;"7. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО""";"8. Всероссийская политическая партия ""ПАРТИЯ РОСТА""";9. Политическая партия РОССИЙСКАЯ ПАРТИЯ СВОБОДЫ И СПРАВЕДЛИВОСТИ;10. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ;"11. Политическая партия ""Гражданская Платформа""";12. Политическая партия ЗЕЛЕНАЯ АЛЬТЕРНАТИВА;"13. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""";14. ПАРТИЯ ПЕНСИОНЕРОВ
ЦИК России;109204662;99579130;193652;48157320;8133713;43093749;8320802;48008888;1171581;55158109;1203;507;10660669;512418;4252252;2997744;28064200;4201744;753268;291465;431530;715621;86964;357870;450449;1381915
ОИК №1;341943;335533;0;191841;41405;102254;41198;191297;3167;229328;52;19;33871;872;15195;6460;154491;9168;800;401;2386;1874;173;674;736;2227
ОИК №2;160838;154203;624;68903;4757;79919;5381;68897;1683;72595;0;0;22351;750;5830;3658;28600;6576;332;111;914;1011;58;367;407;1630
ОИК №3;504209;470533;0;332526;45669;92338;45631;332151;3181;374601;0;0;52937;1520;36937;7449;257938;8137;1418;636;920;1664;438;763;723;3121
ОИК №4;524412;507472;0;355196;51307;100969;51306;354892;3570;402628;0;0;50118;1848;30201;8459;289151;10479;1455;863;1187;2431;678;888;946;3924
ОИК №5;536125;503437;0;341645;49872;111920;49868;340540;3510;386898;0;0;59864;1604;61697;9447;233787;9410;1272;718;1100;1986;523;873;964;3653
ОИК №6;474329;451925;0;321131;36599;94195;36598;321058;3645;354011;0;0;52070;1532;19506;12506;246884;7872;1855;760;1110;2673;1350;833;925;4135
ОИК №7;464840;463492;0;310798;36945;115747;36911;310328;3977;343262;2;0;55889;2165;20577;10583;237224;6903;843;639;964;2345;431;690;760;3249
ОИК №8;504343;477601;0;274488;33647;169448;33646;274124;3496;304274;18;0;51557;1655;20599;12573;191793;14539;1039;639;1083;2360;477;842;970;4148
ОИК №9;699273;607857;4622;275012;34803;293420;39396;274808;7151;307053;0;0;84006;5619;18033;35244;133946;11177;1301;395;1189;3946;565;1464;889;9279
ОИК №10;513089;483532;100;422777;12711;47914;12454;422561;2793;432222;30;0;27653;2500;12735;4337;351134;22578;400;5806;1629;1149;401;187;625;1088
ОИК №11;598325;577590;0;495510;13716;68273;13687;495188;2591;506284;99;8;28446;647;12779;3861;413500;32032;830;5871;3300;1760;244;258;739;2017
ОИК №12;588195;579798;0;473449;18281;88040;18255;472951;3719;487487;69;41;32866;731;10230;3031;400335;25128;557;3337;6134;2006;356;394;674;1708
ОИК №13;234660;214556;0;189708;6664;18184;6664;189680;1757;194587;0;0;7174;308;3470;1175;167239;10082;1656;463;636;345;234;248;324;1233
ОИК №14;539787;535501;0;339394;123659;72448;123658;338596;586;461668;0;0;77135;708;1633;304;366099;13413;318;349;291;325;258;268;285;282
ОИК №15;196946;190597;0;84775;13710;92110;13710;84653;3225;95138;5;3;25540;756;3381;12026;38875;5761;841;176;871;1860;528;551;388;3584
ОИК №16;301151;288090;0;183682;85427;18981;85423;183505;890;268038;0;0;35011;478;5061;886;215309;5403;497;329;601;1555;1678;130;524;576
ОИК №17;510216;461103;595;190898;11162;258434;11711;190539;6877;195373;15;1;32374;1853;19757;14162;64087;23721;15118;2808;2205;4695;212;3090;1790;9501
ОИК №18;644255;573127;4125;231967;18209;318824;22305;231876;8005;246176;2;0;68314;2996;30400;24332;74839;21165;2199;845;2127;3692;293;3411;2425;9138
ОИК №19;512421;397046;0;192458;48389;156196;48388;191679;6814;233253;3;0;24106;2453;18807;10607;145042;15213;1805;596;1568;2189;330;1664;2851;6022
ОИК №20;495016;385652;0;197100;52602;135950;52600;196867;6333;243134;0;0;22130;2177;19762;10054;160355;13501;1767;620;1302;2294;335;1667;1627;5543
ОИК №21;493513;378649;0;205205;50976;122468;50965;204953;6691;249227;0;0;21971;2251;19240;8827;166725;15507;1762;579;1286;1831;283;1585;1600;5780
ОИК №22;531951;503387;0;218972;26314;258096;26314;218915;5969;239260;5;0;89018;1715;19481;15085;81969;15896;1401;762;1274;2962;293;1275;1652;6477
ОИК №23;590906;479531;0;312093;72667;94776;72654;311475;5387;378742;9;14;49928;1650;29777;11515;253527;16536;1629;797;1543;3590;493;1236;1196;5325
ОИК №24;659338;610148;6455;302480;28824;272389;35277;302387;6949;330715;0;0;118683;2455;17354;33317;112160;27643;3534;602;1878;4295;812;1652;1145;5185
