district_name;Число избирателей, внесенных в списки;Число бюллетеней, полученных участковыми комиссиями;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;Число бюллетеней, выданных избирателям на избирательном участке;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;Число погашенных бюллетеней;Число бюллетеней в переносных ящиках для голосования;Число бюллетеней в стационарных ящиках для голосования;Число недействительных бюллетеней;Число действительных бюллетеней;Число открепительных удостоверений, полученных участковыми комиссиями;Число открепительных удостоверений, выданных участковыми комиссиями;Число избирателей, проголосовавших по открепительным удостоверениям;Число погашенных открепительных удостоверений;Число открепительных удостоверений выданных ТИК;Число утраченных бюллетеней;Число не учтенных при получении бюллетеней;"1. ""ЕДИНЕНИЕ""";"2. ""СОЮЗ ПРАВЫХ СИЛ""";"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ""";"4. ""Российская демократическая партия ""ЯБЛОКО""";"5. ""За Русь Святую""";"6. ""Объединенная Российская партия ""Русь""";"7. ""Новый курс - Автомобильная Россия""";"8. ""Народно-республиканская партия России""";"9. ""Российская экологическая партия ""Зеленые""";"10. ""Аграрная партия России""";"11. ""Истинные патриоты России""";"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации""";"13. ""Демократическая партия России""";"14. ""Великая Россия - Евразийский Союз""";"15. ""Партия СЛОН""";"16. ""Родина"" (народно-патриотический союз)""";"17. ""Партия Мира и Единства (ПМЕ)""";"18. ""ЛДПР""";"19. ""Партия Возрождения России - Российская партия ЖИЗНИ""";"20. ""Политическая партия ""Единая Россия""";"21. ""Российская Конституционно-демократическая партия""";"22. ""Развитие предпринимательства""";"23. ""Коммунистическая партия Российской Федерации (КПРФ)""";Против всех
Сумма;108906249;105287862;74034;57310748;3327519;44573168;3392547;57240630;948435;59684742;1639649;695885;572965;945348;26003;3108;715;710721;2408535;1874973;2610087;298826;147441;509302;80420;253985;2205850;149151;714705;136295;170796;107448;5470429;148954;6944322;1140413;22776294;113190;212827;7647820;2851958
Республика Адыгея (Адыгея);335260;325536;371;173067;10395;141704;10765;172983;2326;181422;1301;410;273;885;8;4;5;2834;1817;2816;3410;895;357;1094;366;323;3918;437;2101;303;461;170;14676;391;16527;1994;91227;317;335;27126;7527
Республика Алтай;138737;134878;708;76946;5227;51997;5935;76934;1651;81218;1913;557;361;1356;29;0;0;1500;1668;1268;2102;245;183;361;249;303;26241;302;1159;146;123;103;3048;285;7171;1071;21844;137;212;9149;2348
Республика Башкортостан;2930413;2823596;0;2121862;103060;598526;102709;2119172;62040;2159841;56285;45357;38105;10928;486;259;111;48545;67231;70006;79987;9423;7763;25872;6479;11220;103921;6687;20587;8342;7528;5734;145100;12394;243020;48175;864480;6136;9746;289633;61832
Республика Бурятия;695586;686258;1367;335501;20600;328790;21866;335128;8364;348630;9964;2676;2116;7288;35;0;0;7626;20992;9769;11711;1608;890;2110;737;1069;20496;570;4817;1142;1107;629;17820;1310;39283;14326;123911;829;1009;53097;11772
Республика Дагестан;1431936;1370370;858;1195216;16508;157588;17204;1194309;6717;1204796;6409;1173;432;5316;145;215;15;4890;50864;3490;9661;509;194;1628;238;1220;13604;59371;4700;345;6454;225;7008;1474;4953;8970;795943;1044;635;221859;5517
Республика Ингушетия;158176;144932;0;102619;2467;39846;2476;102355;2447;102384;744;105;92;972;3;0;0;860;1335;837;3450;234;464;287;380;112;481;482;3018;234;21723;126;591;1520;1085;2463;59776;176;107;1036;1607
Кабардино-Балкарская Республика;505631;496630;10;366176;18054;112390;17968;364841;4720;378089;2589;1009;513;1580;61;0;0;1630;5261;5484;2567;541;300;1115;206;389;8461;1057;1299;241;533;149;12174;428;11475;4384;286255;425;348;28315;5052
Республика Калмыкия;206846;203939;0;116754;11430;75755;11429;116672;4749;123352;2979;1778;1356;1201;18;0;0;1330;4008;2764;2439;310;545;707;192;1292;3547;494;727;257;1209;285;8301;1353;6636;1961;64862;221;393;13574;5945
Карачаево-Черкесская Республика;306698;285852;0;153787;8836;123220;8835;153734;1636;160933;1822;675;479;1147;35;9;0;1915;15476;3255;2964;493;298;462;305;221;3583;3069;1864;311;1159;151;7781;427;8312;2155;80613;877;209;21455;3578
