district_name;Число избирателей, внесенных в список;Число полученных избирательных бюллетеней;Число избирательных бюллетеней, выданных  досрочно;Число избирательных бюллетеней, выданных в день голосования;Число избирательных бюллетеней, выданных вне помещения;Число погашенных избирательных бюллетеней;Число избирательных бюллетеней в переносных ящиках;Число бюллетеней в стационарных ящиках для голосования;Число недействительных избирательных бюллетеней;Число действительных избирательных бюллетеней;Число полученных открепительных  удостоверений;Число выданных открепительных удостоверений;Число избирателей, проголосовавших по открепительным удостоверениям;Число неиспользованных открепительных удостоверений;Число открепительных удостоверений, выданных в ТИК;Число утраченных избирательных бюллетеней;Число не учтенных при получении избирательных бюллетеней;Глазьев Сергей Юрьевич;Малышкин Олег Александрович;Миронов Сергей Михайлович;Путин Владимир Владимирович;Хакамада Ирина Муцуовна;Харитонов Николай Михайлович;Против всех
Сумма;108064281;105744103;129022;64831236;4621172;36162189;4749595;64754683;578847;68925431;2085381;1012574;818681;1072788;40227;643;159;2850330;1405396;524392;49563020;2671519;9514224;2396550
Республика Адыгея (Адыгея);321051;314778;0;226053;17927;70798;17926;225862;1747;242041;1721;614;556;1107;70;0;0;7319;3593;1220;184326;3896;35224;6463
Республика Алтай;140046;135953;914;79358;7390;48291;8304;79332;674;86962;2727;647;479;2080;98;0;0;2974;1213;643;65751;3074;11812;1495
Республика Башкортостан;2894559;2872563;0;2462023;116395;294118;116386;2461145;12699;2564832;59424;35882;25581;23542;614;120;93;28603;12748;8420;2365768;28748;102189;18356
Республика Бурятия;672225;665607;2681;408801;36441;217684;39121;408640;5448;442313;24702;9496;6575;15206;72;0;0;12812;7234;3461;298120;32299;76483;11904
Республика Дагестан;1419236;1408254;614;1314694;20322;72624;20936;1314488;4287;1331137;22264;1884;536;20380;41;0;0;3231;2158;2255;1263386;3426;50866;5815
Республика Ингушетия;156157;157023;109;149244;912;6758;1021;149237;141;150117;2423;473;13;1950;7;0;0;179;281;1101;147527;157;782;90
Кабардино-Балкарская Республика;521760;524241;0;494072;15806;14363;15805;494001;555;509251;5060;861;837;4199;220;0;0;1880;722;611;491916;1562;11310;1250
Республика Калмыкия;202419;204168;469;127127;17187;59385;17656;127121;1245;143532;4913;2677;1370;2236;49;0;0;3283;1390;549;114713;5790;16115;1692
Карачаево-Черкесская Республика;304546;295620;0;238002;9970;47648;9970;237985;1426;246529;2594;940;592;1654;88;0;0;3949;1919;1086;204020;3727;28455;3373
Республика Карелия;568445;532021;1659;304335;14891;211136;16549;304150;2081;318618;12691;4117;3319;8574;318;0;0;8599;7241;3540;237778;17564;32482;11414
Республика Коми;759794;740666;813;418691;18206;302954;19019;418554;3153;434420;9464;4546;3267;4918;584;2;0;14558;11314;3691;322023;16061;50974;15799
Республика Марий Эл;546667;538045;214;317111;38548;182161;38760;317083;3136;352707;9439;7706;5362;1733;432;11;0;14635;8540;2959;239483;11522;64551;11017
Республика Мордовия;648704;653387;0;558810;54678;39899;54678;558688;4867;608499;17536;9944;7685;7592;37;0;0;6172;4057;1471;560327;4038;27807;4627
Республика Саха (Якутия);571047;554889;5906;434306;28303;86374;34209;434116;4432;463893;17321;10385;6366;6936;325;0;0;15675;7353;3430;326711;40917;53061;16746
Республика Северная Осетия - Алания;443760;419650;77;384905;11028;23640;11105;384793;2080;393818;9010;4660;3301;4350;249;0;0;1995;1297;920;361248;1795;24806;1757
Республика Татарстан (Татарстан);2734214;2703189;0;2167790;108807;426590;108802;2166614;23238;2252178;75775;37864;30353;37911;841;2;0;54853;24644;23188;1879023;70767;150048;49655
Республика Тыва;160643;157111;4597;103707;8670;40137;13265;103657;1113;115809;2696;1256;807;1440;22;0;0;1525;837;545;102341;2329;7035;1197
Удмуртская Республика;1200431;1120824;0;769458;38276;313090;38272;769089;8748;798613;18941;14173;11515;4768;855;0;0;32303;20961;6465;613335;31246;75506;18797
Республика Хакасия;385188;372883;0;202326;18853;151702;18851;202122;1984;218989;7642;2262;1716;5380;61;2;0;15287;7329;2336;135708;8904;40568;8857
Чеченская Республика;600831;583839;4256;554953;5575;19055;9831;554946;3230;561547;6120;1107;650;5013;14;0;0;3636;2053;2010;521317;15068;12950;4513
Чувашская Республика - Чувашия;955328;926449;0;594710;42283;289456;42283;594619;9646;627256;32686;15994;11384;16692;644;0;0;18037;11408;3949;427489;16028;137093;13252
Алтайский край;2005065;1884763;86;1223105;65509;596025;65564;1221298;13119;1273743;24179;9564;8583;14615;230;39;1;52636;37691;9838;870385;35246;239222;28725
Краснодарский край;3773085;3698829;0;2230081;158558;1310190;158549;2228013;18885;2367677;59702;19988;19408;39714;1045;0;0;98805;44653;13929;1607902;68816;459807;73765
Красноярский край;2180073;2104244;2043;1056047;56461;989691;58495;1055497;8083;1105909;32746;8478;6975;24268;395;4;2;191996;23160;7286;671836;44859;123553;43219
Приморский край;1496468;1469055;3331;929994;54544;481180;57874;928974;9969;976879;28307;23432;19540;4875;1280;6;0;55382;42656;9874;585850;55565;167576;59976
Ставропольский край;1878808;1875828;0;1039793;96564;739476;96562;1039453;8263;1127752;19924;12882;13123;7033;702;0;5;42948;28061;8354;733188;32861;242181;40159
Хабаровский край;1082987;1067462;2565;689038;42927;332932;45483;688383;7078;726788;23748;20241;15882;3500;709;0;0;42096;24496;8215;473495;37204;95555;45727
Амурская область;680668;654216;1525;381773;20381;250534;21903;381622;3277;400248;9673;4969;3910;4704;133;3;0;18552;13840;3637;261781;13952;75636;12850
Архангельская область;1016056;964261;1319;590380;32375;340187;33692;589931;3441;620182;16758;8368;6855;8390;554;0;0;18906;11522;4806;483022;26204;58990;16732
Астраханская область;743936;726034;2146;402517;36671;284700;38800;402336;4271;436865;13975;7370;5789;6605;195;0;0;21024;9677;2980;291499;15197;80643;15845
Белгородская область;1161026;1148813;0;746279;87893;314641;87892;746155;9867;824180;15365;7103;5195;8262;94;0;0;41404;21356;6941;457183;26492;230326;40478
Брянская область;1072921;1048584;0;593581;63389;391614;63383;593305;5579;651109;18618;9706;6673;8912;245;0;0;26712;13131;6035;417481;15195;152874;19681
Владимирская область;1230443;1173226;1035;626587;61714;483890;62747;626131;6233;682645;15160;8218;6372;6942;210;0;0;30336;16561;5908;474175;20589;106465;28611
Волгоградская область;2017496;1953531;0;1050809;72978;829717;72976;1049759;9047;1113688;30199;9831;8463;20368;293;38;11;46503;24858;8288;707613;41324;246482;38620
Вологодская область;992566;936030;0;560234;59603;316193;59602;559742;4487;614857;16824;8397;6654;8427;179;0;0;19583;11439;6500;469296;20106;71269;16664
Воронежская область;1927420;1801441;0;1044380;160341;596720;160338;1043765;8489;1195614;20719;14340;12052;6379;164;0;0;40620;26642;10518;786049;35296;264366;32123
Ивановская область;910881;874054;523;436141;49406;387982;49928;435939;3078;482789;12860;6358;4979;6502;70;2;0;21090;14322;4382;326546;17156;79536;19757
Иркутская область;1780563;1705975;203;887421;46043;772308;46239;887027;7314;925952;24596;9019;7941;15577;516;0;0;53551;37180;9345;578241;51951;156401;39283
Калининградская область;736512;697980;0;384091;15353;298535;15349;383757;3414;395692;7210;3664;3227;3546;541;2;1;20063;7880;4342;278819;17515;47068;20005
Калужская область;829041;777781;372;424949;42379;310081;42748;424420;3827;463341;12708;4768;4593;7940;604;0;0;20966;8524;3058;327778;17109;68806;17100
Камчатская область;260179;257654;742;145269;4503;107040;5245;145201;782;149664;6789;1668;1412;5121;462;100;0;8402;3896;1343;108057;7593;13910;6463
Кемеровская область;2031234;1980131;411;1328080;131399;520234;131793;1327022;13323;1445492;36467;24241;17971;12226;478;7;0;60452;50163;15008;1043186;53001;165019;58663
Кировская область;1168208;1147374;0;642363;59427;445584;59425;642117;4417;697125;18238;8255;6900;9983;774;0;0;32212;18435;6807;459684;23192;137593;19202
