district_name;Число избирателей, включенных в списки избирателей ;Число избирательных бюллетеней, полученных участковыми избирательными комиссиями;Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно;Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования;Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования;Число погашенных избирательных бюллетеней;Число избирательных бюллетеней в переносных ящиках для голосования;Число бюллетеней в стационарных ящиках для голосования;Число недействительных избирательных бюллетеней;Число действительных избирательных бюллетеней;Число полученных открепительных  удостоверений;Число открепительных удостоверений, выданных избирателям на избирательных участках ;Число избирателей, проголосовавших по открепительным удостоверениям;Число неиспользованных открепительных удостоверений;Число открепительных удостоверений, выданных избирателям ТИК;Число утраченных избирательных бюллетеней;Число избирательных бюллетеней, не учтенных при получении ;Число утраченных открепительных удостоверений;Число открепительных удостоверений, не учтенных при получении ;Богданов Андрей Владимирович;Жириновский Владимир Вольфович;Зюганов Геннадий Андреевич;Медведев Дмитрий Анатольевич
Сумма;107222016;102767070;188421;69061788;5599055;27917371;5786127;68960522;1015533;73731116;2261098;1798965;1319640;462074;155338;445;10;30;0;968344;6988510;13243550;52530712
Республика Адыгея (Адыгея);333887;314463;0;205015;12083;97365;12083;204960;1963;215080;1915;1047;649;868;63;0;0;0;0;1861;15092;46686;151441
Республика Алтай;141813;137226;891;100499;7623;28212;8514;100479;1264;107729;3652;1934;1172;1718;205;1;0;0;0;1123;8937;17206;80463
Республика Башкортостан;2922491;2825152;147;2519692;112196;193111;112335;2518545;15375;2615505;57438;49071;26405;8367;4428;6;0;0;0;15859;75500;208679;2315467
Республика Бурятия;678759;660549;2372;439762;41766;176645;44137;439698;6667;477168;19548;12996;7969;6552;341;4;0;0;0;5007;40110;89315;342736
Республика Дагестан;1433651;1363228;0;1284248;11882;67064;11870;1283833;2530;1293173;9540;668;443;8872;45;34;0;0;0;1975;6351;93873;1190974
Республика Ингушетия;165968;164037;0;151575;1653;10809;1653;151575;106;153122;950;287;226;663;50;0;0;0;0;165;10257;2258;140442
Кабардино-Балкарская Республика;517715;519681;0;459880;14859;44942;14859;459861;550;474170;2585;1063;968;1522;355;0;0;0;0;757;10787;41075;421551
Республика Калмыкия;211674;202344;0;133256;9893;59195;9893;133212;1484;141621;6329;4623;2651;1706;303;0;0;0;0;1380;5926;31908;102407
Карачаево-Черкесская Республика;302748;289934;0;270744;8386;10802;8386;270742;723;278405;1531;744;600;787;133;2;0;0;0;523;3581;22104;252197
Республика Карелия;564678;516266;979;296586;17367;201334;18345;296410;3793;310962;8231;4694;3745;3537;506;0;0;0;0;5474;39420;54398;211670
Республика Коми;748397;691546;2709;507080;27958;153799;30666;506616;6013;531269;17715;15176;11045;2539;3701;0;0;0;0;6770;59601;79451;385447
Республика Марий Эл;510777;541185;351;377713;48362;114759;48713;377673;4836;421550;24270;22928;13983;1342;971;0;0;0;0;4153;26643;61497;329257
Республика Мордовия;657715;648122;0;556977;53974;37171;53972;556605;3367;607210;16578;9779;5613;6799;536;0;0;0;0;1541;12814;41473;551382
Республика Саха (Якутия);594480;559986;6125;415354;25295;113210;31408;414244;6645;439007;14109;8830;6453;5279;427;2;0;0;0;7701;37743;91503;302060
Республика Северная Осетия - Алания;483927;447759;4012;335878;14639;93224;18650;335677;6871;347456;13075;8145;2610;4930;1023;6;0;0;0;2007;16350;69189;259910
Республика Татарстан (Татарстан);2831072;2710320;0;2250573;107431;352314;107428;2249935;24858;2332505;58724;41788;30135;16936;985;2;0;0;0;28975;130820;304789;1867921
Республика Тыва;164110;165415;4064;118184;10150;33013;14196;118022;1543;130675;2466;1050;587;1416;74;4;0;0;0;772;4174;7638;118091
Удмуртская Республика;1217874;1091236;0;739083;43338;308809;43338;738680;9015;773003;22497;18117;11871;4380;814;6;0;0;0;10913;84527;126537;551026
Республика Хакасия;389905;359247;191;221712;21600;115744;21791;221639;3389;240041;8396;7243;5461;1153;1452;0;0;0;0;3614;33750;55469;147208
Чеченская Республика;587164;587164;2404;530964;2126;51647;4530;530731;610;534651;4371;396;32;3975;128;23;0;0;0;4533;43617;11723;474778
Чувашская Республика - Чувашия;955051;929950;0;646952;54444;228554;54441;646769;13685;687525;57397;47477;23586;9920;3963;0;0;0;0;7064;56021;158270;466170
Алтайский край;1999177;1832864;86;1141385;80280;611113;80360;1140053;15532;1204881;21214;13906;12346;7308;590;0;0;0;0;13930;170214;284159;736578
Забайкальский край;809100;761089;378;523028;47520;190163;47896;522504;6083;564317;19938;13363;10054;6575;1025;0;0;0;0;5801;84151;98958;375407
Камчатский край;260211;249957;1108;146587;5476;96786;6578;146301;2058;150821;2365;1220;1004;1145;491;0;0;0;0;2309;19748;22679;106085
Краснодарский край;3556142;3643164;137;2781193;328544;533290;328676;2778997;40913;3066760;66324;64146;47640;2178;23496;0;0;0;0;25771;185683;522725;2332581
Красноярский край;2129015;2051772;5428;1230004;70613;745720;76038;1228400;18301;1286137;34881;21342;17072;13539;2350;7;0;0;0;18881;183476;268938;814842
Пермский край;2106200;1953516;2086;1077413;95354;778661;97437;1076807;14709;1159535;34420;25460;19523;8959;1548;2;0;1;0;17752;155391;196124;790268
Приморский край;1514321;1408728;2197;918462;52684;435384;54879;917799;15578;957100;31541;26302;20477;5239;2592;1;0;0;0;15526;129205;191401;620968
Ставропольский край;1929075;1785346;0;1165125;112707;507512;112707;1164552;13629;1263630;19008;15764;15090;3244;629;2;0;0;0;13297;127003;295813;827517
Хабаровский край;1046739;1016986;1951;732569;44777;237689;46712;732003;12171;766544;23072;20646;15873;2426;1310;0;0;0;0;15756;110306;141191;499291
Амурская область;646683;638899;2013;419434;30937;186515;32923;419042;6073;445892;12266;6773;4819;5493;439;0;0;0;0;5066;63972;89329;287525
Архангельская область;1001888;953340;885;588231;34403;329815;35288;587850;5855;617283;13904;10088;8217;3816;810;6;0;0;0;10475;72472;116981;417355
Астраханская область;754985;717958;2331;460920;42357;212350;44687;460592;4506;500773;24790;22908;20885;1882;2000;0;0;0;0;3780;29298;87345;380350
Белгородская область;1187119;1132363;0;825632;99778;206953;99777;825431;14984;910224;15591;10953;8192;4638;530;0;0;0;0;8863;63123;200170;638068
Брянская область;1043197;1021814;0;570784;85830;365200;85829;570667;8197;648299;17853;14310;8475;3543;425;0;0;0;0;6561;56409;179510;405819
Владимирская область;1217308;1134447;0;605486;72486;456474;72445;604514;7900;669059;18642;14047;9263;4593;484;1;0;2;0;9557;78084;147833;433585
Волгоградская область;1844337;1901334;0;1063345;132097;705880;132094;1062347;12025;1182416;24492;19631;14525;4861;1208;12;0;1;0;13235;135793;289613;743775
Вологодская область;983232;946525;0;589942;67943;288640;67942;589402;6629;650715;27453;24910;16651;2519;1307;0;0;24;0;9622;84554;105319;451220
Воронежская область;1910819;1786243;0;1132115;206124;447998;206111;1131298;16714;1320695;34059;30976;20175;3083;1089;6;0;0;0;12642;119728;301963;886362
Ивановская область;883063;871708;505;410376;57601;403224;58013;408660;5521;461152;16271;13740;7849;2521;415;2;0;0;0;6877;57263;94049;302963
Иркутская область;1863300;1751420;907;1117622;88333;544558;89239;1117135;15003;1191371;61692;57270;38764;4422;2748;0;0;0;0;19854;169507;263217;738793
Калининградская область;742480;632329;0;415560;18342;198422;18340;415299;6119;427520;8540;5989;4888;2550;353;5;0;1;0;6997;50599;100667;269257
Калужская область;798678;784654;472;479067;58788;246327;59259;478496;7262;530493;20138;18782;10828;1356;1558;0;0;0;0;7494;53235;117318;352446
Кемеровская область;2099066;2007694;370;1602421;118104;286798;118472;1601773;56120;1664125;47551;44749;27107;2802;3494;1;0;0;0;47304;258547;145401;1212873
Кировская область;1135492;1076341;0;703004;95079;278258;95079;702766;10432;787413;28893;26114;18451;2779;5626;0;0;0;0;7830;57879;112991;608713
Костромская область;571439;553145;0;323830;38874;190441;38874;323676;3403;359147;9668;8238;5536;1430;903;0;0;0;0;4693;45713;82380;226361
Курганская область;771954;751302;0;448095;44238;258969;44236;447818;3707;488347;16127;12968;7431;3159;476;0;0;0;0;5149;62147;101569;319482
Курская область;957465;891145;0;558061;75890;257194;75889;557784;7546;626127;18984;17122;10667;1862;947;0;0;0;0;6447;74192;138256;407232
Ленинградская область;1244438;1179896;107;734035;59875;385875;59974;732472;8785;783661;23838;18292;13196;5546;1014;4;0;0;0;10651;74662;142098;556250
Липецкая область;948315;877690;0;646006;86568;145116;86567;645859;11559;720867;14128;12571;9439;1557;480;0;0;0;0;8952;70130;159575;482210
Магаданская область;124162;120694;901;79719;4846;35227;5746;79669;1232;84183;1755;725;545;1030;204;1;0;0;0;1304;11841;17168;53870
Московская область;5447571;5130500;0;3562550;212926;1354894;212894;3556365;61637;3707622;154231;112781;84018;41450;4526;132;2;0;0;54525;320243;678746;2654108
Мурманская область;682267;606779;769;453401;10147;142458;10915;453031;6116;457830;11383;6132;4680;5251;1505;4;0;0;0;8406;62029;84638;302757
Нижегородская область;2742532;2588992;402;1663729;169255;755605;169651;1662704;24052;1808303;45728;39271;29351;6456;1532;1;0;1;0;27096;209801;438282;1133124
Новгородская область;541502;518555;0;289924;29851;198780;29849;289494;3407;315936;7148;5311;4002;1837;492;0;0;0;0;4519;36813;64459;210145
Новосибирская область;2039733;1956248;0;1223643;107298;625307;107289;1222667;17079;1312877;45882;41443;33650;4439;8024;0;0;0;0;19479;143606;326591;823201
Омская область;1533043;1438504;0;1205458;69383;163663;69378;1204624;18614;1255388;40813;38100;27454;2700;1997;0;0;0;0;19343;154318;278540;803187
Оренбургская область;1603049;1601651;1849;946747;82647;570400;84492;946412;10379;1020525;14614;12709;10489;1905;1295;14;6;0;0;11259;111290;271126;626850
Орловская область;660794;642484;0;429018;70560;142906;70560;428810;8929;490441;15333;12021;8009;3312;484;0;0;0;0;4690;40614;113670;331467
Пензенская область;1131242;1079718;0;748200;86501;245017;86500;747904;17980;816424;20259;15703;10012;4556;336;0;0;0;0;7601;54209;158862;595752
Псковская область;593834;575407;0;325728;73651;176028;73641;325593;4190;395044;12583;8414;5233;4169;500;0;0;0;0;3618;30197;81144;280085
Ростовская область;3299852;3042963;0;2083556;222268;737073;222253;2081599;18330;2285522;74141;50318;32768;23823;1834;66;0;0;0;19685;141353;351889;1772595
Рязанская область;976685;919808;0;535976;64497;319310;64497;534717;8771;590443;16614;9297;6699;7317;245;25;0;0;0;8653;72123;145207;364460
Самарская область;2491299;2348405;0;1348451;109393;890560;109392;1347464;17704;1439152;42850;31841;22143;11009;865;1;0;0;0;18629;157237;329681;933605
Саратовская область;1967217;1902449;730;1337138;130928;433642;131655;1336237;16186;1451706;60599;50777;31816;9822;2710;11;0;0;0;12055;91094;238553;1110004
Сахалинская область;404706;382036;2229;208464;11833;159510;14062;208415;2866;219611;5886;3453;2626;2433;364;0;0;0;0;3761;27235;47300;141315
Свердловская область;3523318;3268908;3238;1957262;116632;1191776;119867;1955977;32730;2043114;62318;40165;34489;22153;2339;0;0;0;0;34588;302887;273629;1432010
Смоленская область;830020;815545;0;464673;75259;275613;75251;464438;8106;531583;15600;14345;8646;1255;396;0;0;0;0;7497;71817;132427;319842
Тамбовская область;849705;830427;0;545811;121016;163600;121005;545275;13417;652863;13630;11879;9055;1751;1300;0;0;0;0;5104;35877;128765;483117
Тверская область;1166301;1079680;243;665528;103297;310612;103536;665077;8654;759959;23537;21190;15896;2347;2448;0;0;0;0;9911;83234;147434;519380
Томская область;772259;704893;1821;433702;28053;241317;29871;433399;7223;456047;17978;10493;7561;7485;997;0;0;0;0;8933;61322;88744;297048
Тульская область;1258913;1210955;0;751070;113713;346172;113710;750586;13683;850613;30926;30086;17432;840;7313;0;0;0;0;10140;77382;177133;585958
Тюменская область;1021589;967633;3780;818150;36967;108736;40729;817320;9258;848791;28422;20987;17656;7435;1885;0;0;0;0;10063;80995;80885;676848
Ульяновская область;1064892;1023147;0;601377;61270;360500;61261;600777;8848;653190;37695;35124;12251;2571;1890;0;0;0;0;8059;60690;141326;443115
Челябинская область;2720320;2512434;627;1724401;126090;661292;126705;1723124;24186;1825643;53855;47584;40925;6271;3786;26;2;0;0;28443;209106;374066;1214028
Ярославская область;1067252;964126;0;571370;66019;326737;66019;570336;10431;625924;23428;12273;8569;11148;370;0;0;0;0;10221;79769;131368;404566
Город Москва;6998056;6120268;0;4467806;171597;1480847;170800;4423426;110257;4483969;184095;159710;159962;24385;13184;18;0;0;0;93714;347329;756936;3285990
Город Санкт-Петербург;3357847;3132505;0;2214692;79785;838028;79720;2207038;40311;2246447;84637;73565;63070;11072;4532;0;0;0;0;42555;167868;383495;1652529
Еврейская автономная область;133887;128499;332;85570;5567;37030;5899;85492;1484;89907;4951;3212;2079;1739;127;0;0;0;0;1048;9102;18170;61587
Ненецкий автономный округ;38319;29427;7096;15875;788;5668;7876;15873;384;23365;484;122;451;362;13;0;0;0;0;440;4054;4257;14614
Ханты-Мансийский автономный округ - Югра;1008746;1012142;7720;762715;22650;219056;30369;762179;10321;782227;28000;21434;20125;6566;3761;1;0;0;0;12714;126235;114779;528499
Чукотский автономный округ;36553;35822;1401;29692;1090;3639;2491;29668;445;31714;1108;395;404;713;259;0;0;0;0;403;2825;2306;26180
Ямало-Ненецкий автономный округ;348507;354387;29354;286469;4727;33837;34078;286398;2081;318395;11235;6810;3392;4425;2948;0;0;0;0;2780;23686;23174;268755
Город Байконур (Республика Казахстан);16239;17500;0;12534;165;4801;165;12520;119;12566;420;122;60;298;37;0;0;0;0;133;1129;1255;10049
Территория за пределами РФ;400711;1665100;80723;239930;9759;1334682;90472;239711;3522;326661;10000;537;3481;9463;0;6;0;0;0;3736;14695;24932;283298
