district name;district id;Число избирателей, включенных в список избирателей ;Число избирательных бюллетеней, полученных участковой избирательной комиссией;Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно;Число избирательных бюллетеней, выданных в помещении для голосования в день голосования;Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования;Число погашенных избирательных бюллетеней;Число избирательных бюллетеней в переносных ящиках для голосования;Число бюллетеней в стационарных ящиках для голосования;Число недействительных избирательных бюллетеней;Число действительных избирательных бюллетеней;Число полученных открепительных  удостоверений;Число открепительных удостоверений, выданных избирателям на избирательном участке;Число избирателей, проголосовавших по открепительным удостоверениям;Число неиспользованных открепительных удостоверений;Число открепительных удостоверений, выданных избирателям ТИК;Число утраченных открепительных удостоверений;Число утраченных избирательных бюллетеней;Число избирательных бюллетеней, не учтенных при получении ;Жириновский Владимир Вольфович;Зюганов Геннадий Андреевич;Миронов Сергей Михайлович;Прохоров Михаил Дмитриевич;Путин Владимир Владимирович
ЦИК России;100100031793509;109860331;103567183;239569;65639398;5901833;31785750;6139277;65562388;836691;70864974;2257205;1979696;1600046;277475;187217;34;730;97;4458103;12318353;2763935;5722508;45602075
Республика Адыгея (Адыгея);100100031793851;342734;331113;0;196476;24100;110537;24099;196382;2967;217514;2188;1591;941;597;94;0;0;0;11164;45311;6637;13145;141257
Республика Алтай;100100031793910;151462;148573;1175;94827;5889;46680;7050;94805;1141;100714;2762;1680;1520;1082;164;0;2;0;5704;17229;3406;6265;68110
Республика Башкортостан;100100031793852;3014076;2936623;0;2103332;198762;634499;198730;2101528;17592;2282666;61722;60594;33798;1128;8127;0;30;0;83704;326250;57329;83667;1731716
Республика Бурятия;100100031793853;629009;557849;2406;382590;31232;141619;33636;382468;4921;411183;17220;12631;9868;4589;498;0;2;0;22211;75082;13994;24430;275466
Республика Дагестан;100100031793854;1563650;1512284;105;1365071;59720;87386;59567;1364937;5155;1419349;2490;513;404;1977;20;0;3;1;1523;84669;4163;6427;1322567
Республика Ингушетия;100100031793876;192867;191797;828;162400;3535;25034;4363;162400;428;166335;1261;376;237;885;24;0;0;0;1944;7422;1761;1934;153274
Кабардино-Балкарская Республика;100100031793913;528147;528715;0;364929;20924;142862;20924;364862;418;385368;1805;1268;660;537;101;0;0;0;11888;53261;11753;8937;299529
Республика Калмыкия;100100031793877;214497;216039;0;118924;14108;83006;14108;118894;1242;131760;7525;6771;4119;754;383;0;1;0;3374;23295;3562;8029;93500
Карачаево-Черкесская Республика;100100031793894;319473;319347;0;275746;15874;27727;15874;275746;631;290989;1113;352;363;761;26;0;0;0;2851;16937;2162;2629;266410
Республика Карелия;100100031793878;558774;526666;785;294530;14239;217112;15023;294416;3839;305600;7907;5281;4118;2626;394;0;0;0;26579;50957;18886;37798;171380
Республика Коми;100100031793880;750661;678907;25178;475847;25516;152365;50681;475099;6970;518810;21737;18467;16276;3270;2340;0;2;1;40314;70135;22738;43759;341864
Республика Марий Эл;100100031793881;537932;548824;0;340911;40392;167521;40388;340760;3984;377164;28391;26517;13826;1874;740;0;0;0;24895;84200;15175;24282;228612
Республика Мордовия;100100031793895;649355;660616;0;507020;75116;78473;75113;506594;3796;577911;18909;18168;8839;741;510;0;7;0;13635;42060;6448;9353;506415
Республика Саха (Якутия);100100031793514;614351;576225;6514;422767;28787;118157;35294;422403;3978;453719;13874;10946;7996;2928;775;0;0;0;20010;65871;20193;29712;317933
Республика Северная Осетия - Алания;100100031793835;512245;502216;1824;383143;29007;88243;30359;383071;3995;409435;13818;12052;6082;1766;1137;0;0;1;13063;87017;12864;6848;289643
Республика Татарстан (Татарстан);100100031793884;2866307;2784079;0;2229176;150386;404517;150372;2228532;17322;2361582;52162;45231;31471;6931;1349;0;0;0;52994;229711;41878;69708;1967291
Республика Тыва;100100031793886;159341;170968;5351;126860;15387;23369;20735;126845;860;146720;2238;1806;1167;432;153;0;1;0;2574;6370;2023;2925;132828
Удмуртская Республика;100100031793887;1218251;1171251;0;748088;36431;386731;36431;747974;9048;775357;23730;20295;14383;3435;602;0;1;0;49160;116277;26803;67362;515755
Республика Хакасия;100100031793836;382578;368677;307;228266;19052;121052;19351;228128;2819;244660;9301;8176;5546;1125;823;0;0;0;20991;50872;8878;19400;144519
Чеченская Республика;100100031793914;615441;616059;7131;600550;5389;2989;12520;600550;876;612194;1516;906;2086;610;459;0;0;0;140;182;165;129;611578
Чувашская Республика - Чувашия;100100031793845;954572;914412;0;651571;51460;211375;51459;651498;10465;692492;51994;51258;28990;732;5933;4;6;0;39707;144676;31201;38838;438070
Алтайский край;100100031793915;1961328;1847223;67;1102078;73701;671375;73770;1101660;12004;1163426;21497;16022;14821;5475;1053;0;2;0;97961;261665;45883;83778;674139
