district name;district id;Число избирателей, включенных в список избирателей ;Число избирательных бюллетеней, полученных участковой избирательной комиссией;Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно;Число избирательных бюллетеней, выданных в помещении для голосования в день голосования;Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования;Число погашенных избирательных бюллетеней;Число избирательных бюллетеней в переносных ящиках для голосования;Число бюллетеней в стационарных ящиках для голосования;Число недействительных избирательных бюллетеней;Число действительных избирательных бюллетеней;Число утраченных избирательных бюллетеней;Число избирательных бюллетеней, не учтенных при получении ;Бабурин Сергей Николаевич;Грудинин Павел Николаевич;Жириновский Владимир Вольфович;Путин Владимир Владимирович;Собчак Ксения Анатольевна;Сурайкин Максим Александрович;Титов Борис Юрьевич;Явлинский Григорий Алексеевич
ЦИК России;100100084849066;109001306;102926562;219648;68582675;4821777;29301516;5039681;68533835;791217;72782299;1050;104;478983;8658732;4154638;56426399;1237921;499287;556751;769588
Республика Адыгея (Адыгея);100100084849067;336720;328666;0;235040;15183;78443;15182;235021;2647;247556;0;0;1165;28711;8923;203095;2060;1317;1088;1197
Республика Алтай;100100084849068;158891;156580;1186;97103;4630;53661;5816;97096;974;101938;0;0;446;21259;5376;72674;929;431;340;483
Республика Башкортостан;100100084849069;3045698;2866878;0;2186576;111258;569036;111248;2185854;18506;2278596;8;0;15845;277797;115635;1784626;28983;20429;15891;19390
Республика Бурятия;100100084849070;603265;578925;4473;419475;29706;125271;34175;419428;5980;447623;0;0;1746;66867;29087;334381;7618;2471;1822;3631
Республика Дагестан;100100084849071;1631826;1619208;0;1395447;32041;191631;32039;1394887;6265;1420661;113;24;1781;103942;3830;1295128;3741;4395;5379;2465
Республика Ингушетия;100100084849072;219305;209693;544;177335;1862;29952;2406;177335;710;179031;0;0;1580;10187;6570;149488;2974;677;3304;4251
Кабардино-Балкарская Республика;100100084849073;528431;534343;0;467655;17453;49232;17453;467107;628;483932;5;2;1222;20133;5006;452480;1121;1141;1658;1171
Республика Калмыкия;100100084849134;201912;200119;0;132523;8099;59497;8099;132520;1790;138829;0;0;502;16399;2734;114833;2117;675;632;937
Карачаево-Черкесская Республика;100100084849135;292031;288361;0;241477;13774;33110;13771;241300;1101;253970;0;0;676;17819;7075;223534;1132;2533;454;747
